route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
9011001057900000,1,33010000157649538,,1,1
9011001057900000,2,33010000157650132,,1,1
9011001057900000,2,33010000157650184,,1,1
9011001057900000,2,33010000157650439,,1,1
9011001057900000,2,33010000157650540,,1,1
9011001057900000,2,33010000157650640,,1,1
9011001057900000,2,33010000157650790,,1,1
9011001057900000,1,33010000157649334,,1,1
9011001057900000,1,33010000157649436,,1,1
9011001057900000,1,33010000157649487,,1,1
9011001057900000,1,33010000157649589,,1,1
9011001057900000,1,33010000157649640,,1,1
9011001057900000,1,33010000157649793,,1,1
9011001057900000,2,33010000157649928,,1,1
9011001057900000,2,33010000157650590,,1,1
9011001057900000,1,33010000157649385,,1,1
9011001057900000,1,33010000157649691,,1,1
9011001057900000,2,33010000157649877,,1,1
9011001057900000,2,33010000157649979,,1,1
9011001057900000,2,33010000157650081,,1,1
9011001057900000,2,33010000157650235,,1,1
9011001057900000,2,33010000157650337,,1,1
9011001057900000,2,33010000157650388,,1,1
9011001057900000,2,33010000157650490,,1,1
9011001057900000,2,33010000157650690,,1,1
9011001057900000,2,33010000157650941,,1,1
9011001057900000,2,33010000157650992,,1,1
9011001057900000,1,33010000157649742,,1,1
9011001057900000,2,33010000157650030,,1,1
9011001057900000,2,33010000157650286,,1,1
9011001057900000,2,33010000157650740,,1,1
9011001057900000,2,33010000157650840,,1,1
9011001057900000,2,33010000157650890,,1,1
9011001057900000,1,33010000144030491,,1,1
9011001057900000,1,33010000144030542,,1,1
9011001057900000,1,33010000144030644,,1,1
9011001057900000,2,33010000144031445,,1,1
9011001057900000,2,33010000144031751,,1,1
9011001057900000,1,33010000144030695,,1,1
9011001057900000,1,33010000144030746,,1,1
9011001057900000,1,33010000144030797,,1,1
9011001057900000,1,33010000144030848,,1,1
9011001057900000,1,33010000144030593,,1,1
9011001057900000,2,33010000157651042,,0,2
9011001057900000,2,33010000157651242,,0,2
9011001057900000,2,33010000157651491,,0,2
9011001057900000,2,33010000157651541,,0,2
9011001057900000,2,33010000157651591,,0,2
9011001057900000,2,33010000157651641,,0,2
9011001057900000,2,33010000157651741,,0,2
9011001057900000,2,33010000157652225,,0,2
9011001057900000,2,33010000157651142,,0,2
9011001057900000,2,33010000157651192,,0,2
9011001057900000,2,33010000157651391,,0,2
9011001057900000,2,33010000157651889,,0,2
9011001057900000,2,33010000157652275,,0,2
9011001057900000,2,33010000157651292,,0,2
9011001057900000,2,33010000157651341,,0,2
9011001057900000,2,33010000157651441,,0,2
9011001057900000,2,33010000157651691,,0,2
9011001057900000,2,33010000157651791,,0,2
9011001057900000,2,33010000157651939,,0,2
9011001057900000,2,33010000157651989,,0,2
9011001057900000,2,33010000157651092,,0,2
9011001057900000,2,33010000157651840,,0,2
9011001057900000,1,33010000157652042,,0,2
9011001057900000,2,33010000157652125,,0,2
9011001057900000,2,33010000157652175,,0,2
9011001057900000,1,33010000151345184,,0,2
9011001057900000,1,33010000151345478,,0,2
9011001057900000,1,33010000151345674,,0,2
9011001057900000,1,33010000151344939,,0,2
9011001057900000,1,33010000151345037,,0,2
9011001057900000,1,33010000151345233,,0,2
9011001057900000,1,33010000151345282,,0,2
9011001057900000,1,33010000151345331,,0,2
9011001057900000,1,33010000151345527,,0,2
9011001057900000,1,33010000151345576,,0,2
9011001057900000,1,33010000151345429,,0,2
9011001057900000,1,33010000151344988,,0,2
9011001057900000,1,33010000151345135,,0,2
9011001057900000,1,33010000151345380,,0,2
9011001057900000,1,33010000151345625,,0,2
9011001057900000,1,33010000151345723,,0,2
9011001057900000,1,33010000151345772,,0,2
9011001059300000,3,33010000158679385,,1,3
9011001059300000,4,33010000158679357,,1,4
9011001059300000,4,33010000158679331,,1,4
9011001059300000,5,33010000158679304,,1,4
9011001059300000,5,33010000158679412,,0,5
9011001059300000,4,33010000158679437,,0,5
9011001059300000,4,33010000158679461,,0,5
9011001059300000,4,33010000158679489,,0,6
9011001067700000,2,33010000137796826,,1,7
9011001067700000,4,33010000151339099,,1,8
9011001067700000,2,33010000151339315,,1,8
9011001067700000,1,33010000151339393,,1,8
9011001067700000,1,33010000151339465,,1,8
9011001067700000,1,33010000151339609,,1,8
9011001067700000,2,33010000151339987,,1,8
9011001067700000,2,33010000151340275,,1,8
9011001067700000,2,33010000151340880,,1,8
9011001067700000,2,33010000151338881,,1,8
9011001067700000,1,33010000151339681,,1,8
9011001067700000,2,33010000151340059,,1,8
9011001067700000,2,33010000151340808,,1,8
9011001067700000,1,33010000151341024,,1,8
9011001067700000,1,33010000151341096,,1,8
9011001067700000,1,33010000151341240,,1,8
9011001067700000,1,33010000151341312,,1,8
9011001067700000,4,33010000151339171,,1,8
9011001067700000,1,33010000151339537,,1,8
9011001067700000,1,33010000151339753,,1,8
9011001067700000,2,33010000151339843,,1,8
9011001067700000,2,33010000151339915,,1,8
9011001067700000,2,33010000151340635,,1,8
9011001067700000,2,33010000151340707,,1,8
9011001067700000,2,33010000151340952,,1,8
9011001067700000,2,33010000151338953,,1,8
9011001067700000,1,33010000151339025,,1,8
9011001067700000,4,33010000151339243,,1,8
9011001067700000,2,33010000151340131,,1,8
9011001067700000,2,33010000151340203,,1,8
9011001067700000,2,33010000151340347,,1,8
9011001067700000,2,33010000151340419,,1,8
9011001067700000,2,33010000151340491,,1,8
9011001067700000,2,33010000151340563,,1,8
9011001067700000,2,33010000151340735,,1,9
9011001067700000,1,33010000151341168,,1,8
9011001067700000,2,33010000049436531,,0,10
9011001067700000,2,33010000157649228,,0,11
9011001067700000,1,33010000151341752,,0,12
9011001067700000,2,33010000151342119,,0,12
9011001067700000,2,33010000151342190,,0,12
9011001067700000,2,33010000151342474,,0,12
