service_id,date,exception_type
1,20211002,1
1,20211003,1
1,20211009,1
1,20211010,1
1,20211016,1
1,20211017,1
1,20211023,1
1,20211024,1
1,20211030,1
1,20211031,1
1,20211106,1
1,20211107,1
1,20211113,1
1,20211114,1
1,20211120,1
1,20211121,1
1,20211127,1
1,20211128,1
1,20211204,1
1,20211205,1
1,20211211,1
2,20210927,1
2,20210928,1
2,20210929,1
2,20210930,1
2,20211001,1
2,20211004,1
2,20211005,1
2,20211006,1
2,20211007,1
2,20211008,1
2,20211011,1
2,20211012,1
2,20211013,1
2,20211014,1
2,20211015,1
2,20211018,1
2,20211019,1
2,20211020,1
2,20211021,1
2,20211022,1
2,20211025,1
2,20211026,1
2,20211027,1
2,20211028,1
2,20211029,1
2,20211101,1
2,20211102,1
2,20211103,1
2,20211104,1
2,20211105,1
2,20211108,1
2,20211109,1
2,20211110,1
2,20211111,1
2,20211112,1
2,20211115,1
2,20211116,1
2,20211117,1
2,20211118,1
2,20211119,1
2,20211122,1
2,20211123,1
2,20211124,1
2,20211125,1
2,20211126,1
2,20211129,1
2,20211130,1
2,20211201,1
2,20211202,1
2,20211203,1
2,20211206,1
2,20211207,1
2,20211208,1
2,20211209,1
2,20211210,1
3,20211001,1
3,20211002,1
3,20211008,1
3,20211009,1
3,20211015,1
3,20211016,1
3,20211022,1
3,20211023,1
3,20211029,1
3,20211030,1
3,20211105,1
3,20211106,1
3,20211112,1
3,20211113,1
3,20211119,1
3,20211120,1
3,20211126,1
3,20211127,1
3,20211203,1
3,20211204,1
3,20211210,1
3,20211211,1
4,20210927,1
4,20210928,1
4,20210929,1
4,20210930,1
4,20211001,1
4,20211002,1
4,20211003,1
4,20211004,1
4,20211005,1
4,20211006,1
4,20211007,1
4,20211008,1
4,20211009,1
4,20211010,1
4,20211011,1
4,20211012,1
4,20211013,1
4,20211014,1
4,20211015,1
4,20211016,1
4,20211017,1
4,20211018,1
4,20211019,1
4,20211020,1
4,20211021,1
4,20211022,1
4,20211023,1
4,20211024,1
4,20211025,1
4,20211026,1
4,20211027,1
4,20211028,1
4,20211029,1
4,20211030,1
4,20211031,1
4,20211101,1
4,20211102,1
4,20211103,1
4,20211104,1
4,20211105,1
4,20211106,1
4,20211107,1
4,20211108,1
4,20211109,1
4,20211110,1
4,20211111,1
4,20211112,1
4,20211113,1
4,20211114,1
4,20211115,1
4,20211116,1
4,20211117,1
4,20211118,1
4,20211119,1
4,20211120,1
4,20211121,1
4,20211122,1
4,20211123,1
4,20211124,1
4,20211125,1
4,20211126,1
4,20211127,1
4,20211128,1
4,20211129,1
4,20211130,1
4,20211201,1
4,20211202,1
4,20211203,1
4,20211204,1
4,20211205,1
4,20211206,1
4,20211207,1
4,20211208,1
4,20211209,1
4,20211210,1
4,20211211,1
5,20210927,1
5,20210928,1
5,20210929,1
5,20210930,1
5,20211003,1
5,20211004,1
5,20211005,1
5,20211006,1
5,20211007,1
5,20211010,1
5,20211011,1
5,20211012,1
5,20211013,1
5,20211014,1
5,20211017,1
5,20211018,1
5,20211019,1
5,20211020,1
5,20211021,1
5,20211024,1
5,20211025,1
5,20211026,1
5,20211027,1
5,20211028,1
5,20211031,1
5,20211101,1
5,20211102,1
5,20211103,1
5,20211104,1
5,20211107,1
5,20211108,1
5,20211109,1
5,20211110,1
5,20211111,1
5,20211114,1
5,20211115,1
5,20211116,1
5,20211117,1
5,20211118,1
5,20211121,1
5,20211122,1
5,20211123,1
5,20211124,1
5,20211125,1
5,20211128,1
5,20211129,1
5,20211130,1
5,20211201,1
5,20211202,1
5,20211205,1
5,20211206,1
5,20211207,1
5,20211208,1
5,20211209,1
6,20211003,1
6,20211010,1
6,20211017,1
6,20211024,1
6,20211031,1
6,20211106,1
6,20211107,1
6,20211114,1
6,20211121,1
6,20211128,1
6,20211205,1
7,20210927,1
7,20210928,1
7,20210929,1
7,20210930,1
7,20211001,1
7,20211002,1
7,20211004,1
7,20211005,1
7,20211006,1
7,20211007,1
7,20211008,1
7,20211009,1
7,20211011,1
7,20211012,1
7,20211013,1
7,20211014,1
7,20211015,1
7,20211016,1
7,20211018,1
7,20211019,1
7,20211020,1
7,20211021,1
7,20211022,1
7,20211023,1
7,20211025,1
7,20211026,1
7,20211027,1
7,20211028,1
7,20211029,1
7,20211030,1
7,20211101,1
7,20211102,1
7,20211103,1
7,20211104,1
7,20211105,1
7,20211108,1
7,20211109,1
7,20211110,1
7,20211111,1
7,20211112,1
7,20211113,1
7,20211115,1
7,20211116,1
7,20211117,1
7,20211118,1
7,20211119,1
7,20211120,1
7,20211122,1
7,20211123,1
7,20211124,1
7,20211125,1
7,20211126,1
7,20211127,1
7,20211129,1
7,20211130,1
7,20211201,1
7,20211202,1
7,20211203,1
7,20211204,1
7,20211206,1
7,20211207,1
7,20211208,1
7,20211209,1
7,20211210,1
7,20211211,1
8,20211002,1
8,20211009,1
8,20211016,1
8,20211023,1
8,20211030,1
8,20211113,1
8,20211120,1
8,20211127,1
8,20211204,1
8,20211211,1
9,20211002,1
9,20211009,1
9,20211016,1
9,20211023,1
9,20211030,1
9,20211106,1
9,20211113,1
9,20211120,1
9,20211127,1
9,20211204,1
9,20211211,1
10,20211001,1
10,20211008,1
10,20211015,1
10,20211022,1
10,20211029,1
10,20211105,1
10,20211112,1
10,20211119,1
10,20211126,1
10,20211203,1
10,20211210,1
11,20210927,1
11,20210928,1
11,20210929,1
11,20210930,1
11,20211004,1
11,20211005,1
11,20211006,1
11,20211007,1
11,20211011,1
11,20211012,1
11,20211013,1
11,20211014,1
11,20211018,1
11,20211019,1
11,20211020,1
11,20211021,1
11,20211025,1
11,20211026,1
11,20211027,1
11,20211028,1
11,20211101,1
11,20211102,1
11,20211103,1
11,20211104,1
11,20211108,1
11,20211109,1
11,20211110,1
11,20211111,1
11,20211115,1
11,20211116,1
11,20211117,1
11,20211118,1
11,20211122,1
11,20211123,1
11,20211124,1
11,20211125,1
11,20211129,1
11,20211130,1
11,20211201,1
11,20211202,1
11,20211206,1
11,20211207,1
11,20211208,1
11,20211209,1
12,20211003,1
12,20211010,1
12,20211017,1
12,20211024,1
12,20211031,1
12,20211107,1
12,20211114,1
12,20211121,1
12,20211128,1
12,20211205,1
13,20210927,1
13,20210928,1
13,20210929,1
13,20210930,1
13,20211001,1
13,20211004,1
13,20211005,1
13,20211006,1
13,20211007,1
13,20211008,1
13,20211011,1
13,20211012,1
13,20211013,1
13,20211014,1
13,20211015,1
13,20211018,1
13,20211019,1
13,20211020,1
13,20211021,1
13,20211022,1
13,20211025,1
13,20211026,1
13,20211027,1
13,20211028,1
13,20211029,1
13,20211108,1
13,20211109,1
13,20211110,1
13,20211111,1
13,20211112,1
13,20211115,1
13,20211116,1
13,20211117,1
13,20211118,1
13,20211119,1
13,20211122,1
13,20211123,1
13,20211124,1
13,20211125,1
13,20211126,1
13,20211129,1
13,20211130,1
13,20211201,1
13,20211203,1
13,20211206,1
13,20211207,1
13,20211208,1
13,20211209,1
13,20211210,1
14,20210927,1
14,20210928,1
14,20210929,1
14,20210930,1
14,20211001,1
14,20211004,1
14,20211005,1
14,20211006,1
14,20211007,1
14,20211008,1
14,20211011,1
14,20211012,1
14,20211013,1
14,20211014,1
14,20211015,1
14,20211018,1
14,20211019,1
14,20211020,1
14,20211021,1
14,20211022,1
14,20211025,1
14,20211026,1
14,20211027,1
14,20211028,1
14,20211029,1
14,20211108,1
14,20211109,1
14,20211110,1
14,20211111,1
14,20211112,1
14,20211115,1
14,20211116,1
14,20211117,1
14,20211118,1
14,20211119,1
14,20211122,1
14,20211123,1
14,20211124,1
14,20211125,1
14,20211126,1
14,20211129,1
14,20211130,1
14,20211201,1
14,20211202,1
14,20211203,1
14,20211206,1
14,20211207,1
14,20211208,1
14,20211209,1
14,20211210,1
15,20210928,1
15,20210929,1
15,20210930,1
15,20211001,1
15,20211005,1
15,20211006,1
15,20211007,1
15,20211008,1
15,20211012,1
15,20211013,1
15,20211014,1
15,20211015,1
15,20211019,1
15,20211020,1
15,20211021,1
15,20211022,1
15,20211026,1
15,20211027,1
15,20211028,1
15,20211029,1
15,20211109,1
15,20211110,1
15,20211111,1
15,20211112,1
15,20211116,1
15,20211117,1
15,20211118,1
15,20211119,1
15,20211123,1
15,20211124,1
15,20211125,1
15,20211126,1
15,20211130,1
15,20211201,1
15,20211202,1
15,20211203,1
15,20211207,1
15,20211208,1
15,20211209,1
15,20211210,1
16,20210927,1
16,20211004,1
16,20211011,1
16,20211018,1
16,20211025,1
16,20211108,1
16,20211115,1
16,20211122,1
16,20211129,1
16,20211206,1
17,20211101,1
17,20211102,1
17,20211103,1
17,20211104,1
17,20211105,1
18,20210927,1
18,20210930,1
18,20211001,1
18,20211004,1
18,20211007,1
18,20211008,1
18,20211011,1
18,20211014,1
18,20211015,1
18,20211018,1
18,20211021,1
18,20211022,1
18,20211025,1
18,20211028,1
18,20211029,1
18,20211108,1
18,20211111,1
18,20211112,1
18,20211115,1
18,20211118,1
18,20211119,1
18,20211122,1
18,20211125,1
18,20211126,1
18,20211129,1
18,20211202,1
18,20211203,1
18,20211206,1
18,20211209,1
18,20211210,1
19,20210928,1
19,20210929,1
19,20211005,1
19,20211006,1
19,20211012,1
19,20211013,1
19,20211019,1
19,20211020,1
19,20211026,1
19,20211027,1
19,20211109,1
19,20211110,1
19,20211116,1
19,20211117,1
19,20211123,1
19,20211124,1
19,20211130,1
19,20211201,1
19,20211207,1
19,20211208,1
20,20210928,1
20,20211005,1
20,20211012,1
20,20211019,1
20,20211026,1
20,20211109,1
20,20211116,1
20,20211123,1
20,20211130,1
20,20211207,1
21,20210929,1
21,20211006,1
21,20211013,1
21,20211020,1
21,20211027,1
21,20211110,1
21,20211117,1
21,20211124,1
21,20211201,1
21,20211208,1
22,20210927,1
22,20210928,1
