from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9022003780722002,9022003780722002,1,,33010000141086743,33010000138946892
9022003780722002,9022003780722002,1,,33010000141086743,33010000134880182
9022003780722002,9022003780722002,1,,33010000141089410,33010000157475976
9022003780722002,9022003780722002,1,,33010000144027615,33010000134881153
9022003780722002,9022003780722002,1,,33010000144028003,33010000138448327
9022003780722002,9022003780722002,1,,33010000144028156,33010000141027594
9022003780722002,9022003780722002,1,,33010000144028615,33010000134880982
9022003780722002,9022003780722002,1,,33010000144026850,33010000134880868
9022003780722002,9022003780722002,1,,33010000144027258,33010000134881153
9022003780722002,9022003780722002,1,,33010000144027819,33010000138448388
9022003780722002,9022003780722002,1,,33010000144028360,33010000134881096
9022003780722002,9022003780722002,1,,33010000141086659,33010000134880754
9022003780722002,9022003780722002,1,,33010000144027564,33010000134881267
9022003780722002,9022003780722002,1,,33010000144028054,33010000138448327
9022003780722002,9022003780722002,1,,33010000144028411,33010000134881096
9022003780722002,9022003780722002,1,,33010000144027003,33010000134880925
9022003780722002,9022003780722002,1,,33010000144028666,33010000134881210
9022003780233002,9022003780233001,1,,33010000141080593,33010000142713583
9022003780050001,9022003780050001,1,,33010000141080593,33010000142753259
9022003780050001,9022003780050002,1,,33010000141080593,33010000152548742
9022003780233002,9022003780233001,1,,33010000141080635,33010000142713639
9022003780050001,9022003780050001,1,,33010000141080635,33010000142753491
9022003780050001,9022003780050002,1,,33010000141080635,33010000152548868
9022003780050001,9022003780050002,1,,33010000141080845,33010000142758220
9022003780050001,9022003780050001,1,,33010000141080845,33010000142752621
9022003780233002,9022003780233001,1,,33010000141080845,33010000142714160
9022003780233002,9022003780233001,1,,33010000141080971,33010000142714272
9022003780050001,9022003780050001,1,,33010000141080971,33010000142752853
9022003780050001,9022003780050002,1,,33010000141080971,33010000152548238
9022003780050001,9022003780050001,1,,33010000141081097,33010000142755059
9022003780233002,9022003780233001,1,,33010000141081097,33010000142713527
9022003780050001,9022003780050001,1,,33010000141081097,33010000142753201
9022003780050001,9022003780050002,1,,33010000141081097,33010000152548616
9022003780050001,9022003780050001,1,,33010000141081181,33010000142754129
9022003780233002,9022003780233001,1,,33010000141081181,33010000142713695
9022003780050001,9022003780050002,1,,33010000141081181,33010000152549438
